transaction_id,customer_id,card_number,timestamp,merchant_category,merchant_type,merchant,amount,currency,country,city,city_size,card_type,card_present,device,channel,device_fingerprint,ip_address,distance_from_home,high_risk_merchant,transaction_hour,weekend_transaction,velocity_last_hour,is_fraud
TX_34918182,CUST_29238,5094382283804043,2024-10-09 23:06:08.091824+00:00,Entertainment,streaming,Disney+,156.3,USD,USA,Los Angeles,large,Platinum Credit,True,Chip Reader,pos,d0066d71536fee04f6230cf61539c1ae,138.112.227.123,1,True,23,False,"{'num_transactions': 504, 'total_amount': 14433970.602378003, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 1041073.521026001}",True
TX_76b849ab,CUST_46420,373326105578429,2024-10-02 11:28:08.153694+00:00,Retail,online,Amazon,541.8,GBP,UK,Unknown City,medium,Basic Debit,False,Edge,web,17a167e0d3d9b59dcf6a8624144c5f3b,62.71.138.1,0,False,11,False,"{'num_transactions': 1591, 'total_amount': 40009029.437028006, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1932261.9250716253}",False
TX_5edfd4a1,CUST_35962,6467752886066611,2024-10-07 14:30:44.965144+00:00,Gas,local,Local Gas Station,780.09,BRL,Brazil,Unknown City,medium,Basic Debit,False,Chrome,web,43f087061e479d55410de02077235d4a,248.116.62.83,0,False,14,False,"{'num_transactions': 1067, 'total_amount': 27711001.90559239, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1454981.6284444316}",False
TX_912c17de,CUST_45836,5303106577519794,2024-10-24 17:25:44.794923+00:00,Grocery,physical,Aldi,1.37,MXN,Mexico,Unknown City,medium,Basic Debit,True,Magnetic Stripe,pos,1f0330b240377dd6882c6617c4683ec1,40.166.229.103,1,False,17,False,"{'num_transactions': 56, 'total_amount': 1841571.766011324, 'unique_merchants': 39, 'unique_countries': 11, 'max_single_amount': 811552.4130264744}",True
TX_da88114d,CUST_68258,6158233718655610,2024-10-08 04:58:10.929605+00:00,Education,supplies,University Bookstore,1501.9,GBP,UK,Unknown City,medium,Basic Debit,True,Magnetic Stripe,pos,adaaa8fbd86f5fd78eeeb38aaacbb3ca,121.132.112.229,1,False,4,False,"{'num_transactions': 150, 'total_amount': 2992773.349849349, 'unique_merchants': 77, 'unique_countries': 12, 'max_single_amount': 883709.6630202068}",True
TX_8e71af51,CUST_54811,376850235370214,2024-10-15 05:43:33.577537+00:00,Restaurant,premium,Nobu,253.96,SGD,Singapore,Unknown City,medium,Basic Debit,False,Chrome,web,adfbffae50068452e538aefdc95543b9,75.17.54.70,0,False,5,False,"{'num_transactions': 637, 'total_amount': 14090403.10590166, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1671320.4858612865}",False
TX_4bbd4cc4,CUST_63955,6319245731990168,2024-10-18 17:27:26.484273+00:00,Grocery,online,FreshDirect,778677.21,NGN,Nigeria,Unknown City,medium,Platinum Credit,False,Chrome,web,6446c3804e08fcc56eeadac58f01c105,51.19.174.156,0,False,17,False,"{'num_transactions': 117, 'total_amount': 55935976.31056155, 'unique_merchants': 71, 'unique_countries': 9, 'max_single_amount': 1002265.9024421078}",False
TX_085dd2a6,CUST_96366,5520770522965498,2024-10-13 20:08:34.011023+00:00,Education,online,Udemy,150.36,CAD,Canada,Unknown City,medium,Basic Debit,False,iOS App,mobile,f28328751eb0428b48fafb891f18aa5d,207.60.125.31,1,False,20,True,"{'num_transactions': 178, 'total_amount': 3692455.0584995076, 'unique_merchants': 81, 'unique_countries': 12, 'max_single_amount': 1058886.7960253097}",False
TX_af977cfa,CUST_58811,6873710594209541,2024-10-13 17:23:41.735231+00:00,Retail,physical,Target,353.25,EUR,Germany,Unknown City,medium,Gold Credit,False,Safari,web,df015400aa1e43756815b9d03a74e4ef,99.185.80.64,1,False,17,True,"{'num_transactions': 703, 'total_amount': 34896905.71108111, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 1000197.3817561386}",False
TX_b0716df4,CUST_61661,372755696920676,2024-10-17 05:26:14.769812+00:00,Grocery,physical,Publix,211.79,GBP,UK,Unknown City,medium,Premium Debit,False,Safari,web,ac47d3f872261530b68a3b3f3be9d073,244.38.152.84,0,False,5,False,"{'num_transactions': 63, 'total_amount': 2860018.827491459, 'unique_merchants': 40, 'unique_countries': 8, 'max_single_amount': 845206.6975673927}",False
